Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2025,Regulation of Intracellular Signal Transduction (GO:1902531),6/302,0.0033566452199287,0.0188248969035177,0,0,4.416216216216216,25.15835905644984,DYRK2;KDR;MAPKAPK5;MAPT;MTOR;VEGFA
GO_Biological_Process_2025,Positive Regulation of Peptidyl-Tyrosine Phosphorylation (GO:0050731),3/63,0.003455291549789,0.0193117664700536,0,0,10.668817204301074,60.46923895267782,FLT3;KIT;VEGFA
GO_Biological_Process_2025,Regulation of Neuron Apoptotic Process (GO:0043523),4/129,0.0034726568224441,0.0193425799803032,0,0,6.879652173913043,38.95833734110742,BACE1;APP;GSK3B;BCL2
GO_Biological_Process_2025,Positive Regulation of Neurogenesis (GO:0050769),3/64,0.0036127316692558,0.0200543472252569,0,0,10.493389740877843,59.00738511459594,MMP12;KDM1A;VEGFA
GO_Biological_Process_2025,Signaling Receptor Ligand Precursor Processing (GO:0140448),2/19,0.0036969199300382,0.0203830179926433,0,0,24.88986232790989,139.38958235666968,DPP4;MMP12
GO_Biological_Process_2025,Positive Regulation of Axon Extension (GO:0045773),2/19,0.0036969199300382,0.0203830179926433,0,0,24.88986232790989,139.38958235666968,MAPT;VEGFA
GO_Biological_Process_2025,Positive Regulation of Apoptotic Process (GO:0043065),6/313,0.0039967075259822,0.021961706001357,0,0,4.255591748099891,23.50058781825032,BACE1;APP;GSK3B;BCL2;CYP1B1;SNCA
GO_Biological_Process_2025,Cellular Response to Lectin (GO:1990858),2/20,0.0040948972210907,0.0221287161086758,0,0,23.505910165484632,129.23581519530129,SRC;FYN
GO_Biological_Process_2025,Stimulatory C-type Lectin Receptor Signaling Pathway (GO:0002223),2/20,0.0040948972210907,0.0221287161086758,0,0,23.505910165484632,129.23581519530129,SRC;FYN
GO_Biological_Process_2025,Positive Regulation of Monocyte Chemotaxis (GO:0090026),2/20,0.0040948972210907,0.0221287161086758,0,0,23.505910165484632,129.23581519530129,APP;SERPINE1
GO_Biological_Process_2025,Presynaptic Endocytosis (GO:0140238),2/20,0.0040948972210907,0.0221287161086758,0,0,23.505910165484632,129.23581519530129,SYNJ2;SNCA
GO_Biological_Process_2025,Regulation of Cell Cycle G2/M Phase Transition (GO:1902749),2/20,0.0040948972210907,0.0221287161086758,0,0,23.505910165484632,129.23581519530129,DYRK3;CDK2
GO_Biological_Process_2025,Regulation of Cell Growth (GO:0001558),5/222,0.0043460389620716,0.0234083682709604,0,0,4.984807818909202,27.109829629225647,RPS6KA3;MMP14;BCL2;ESR2;MTOR
GO_Biological_Process_2025,Cell Junction Organization (GO:0034330),3/69,0.0044654510785828,0.0239069451461119,0,0,9.695992179863149,52.46874707193491,APP;MAPT;SNCA
GO_Biological_Process_2025,Regulation of Systemic Arterial Blood Pressure (GO:0003073),2/21,0.0045118499417907,0.0239069451461119,0,0,22.267637178051512,120.2685777556432,KLK1;KLK2
GO_Biological_Process_2025,Cellular Response to Estradiol Stimulus (GO:0071392),2/21,0.0045118499417907,0.0239069451461119,0,0,22.267637178051512,120.2685777556432,ESR1;ESR2
GO_Biological_Process_2025,Sensory Perception of Pain (GO:0019233),2/21,0.0045118499417907,0.0239069451461119,0,0,22.267637178051512,120.2685777556432,MMP12;PTGES
GO_Biological_Process_2025,Negative Regulation of Signal Transduction by P53 Class Mediator (GO:1901797),2/21,0.0045118499417907,0.0239069451461119,0,0,22.267637178051512,120.2685777556432,KDM1A;DYRK1A
GO_Biological_Process_2025,Negative Regulation of Cell Motility (GO:2000146),4/139,0.0045298232622391,0.0239245034432825,0,0,6.36682769726248,34.362229755258646,GSK3B;ADORA3;SERPINE1;CYP1B1
GO_Biological_Process_2025,Negative Regulation of TOR Signaling (GO:0032007),3/70,0.0046493401598271,0.0243978236039802,0,0,9.550794415021668,51.2976030457789,GSK3B;PRKAA2;MAPKAPK5
GO_Biological_Process_2025,Negative Regulation of Immune Response (GO:0050777),3/70,0.0046493401598271,0.0243978236039802,0,0,9.550794415021668,51.2976030457789,SRC;FYN;MAPK14
GO_Biological_Process_2025,Positive Regulation of Cytokine Production (GO:0001819),6/325,0.0047937975294037,0.0250752486153428,0,0,4.09299895506792,21.858384142882567,APP;STING1;SERPINE1;CYP1B1;MAPK14;HIF1A
GO_Biological_Process_2025,Fc-gamma Receptor Signaling Pathway Involved in Phagocytosis (GO:0038096),2/22,0.0049475906363984,0.02547150762966,0,0,21.153191489361703,112.29921711841662,SRC;FYN
GO_Biological_Process_2025,Cell Migration Involved in Sprouting Angiogenesis (GO:0002042),2/22,0.0049475906363984,0.02547150762966,0,0,21.153191489361703,112.29921711841662,KDR;VEGFA
GO_Biological_Process_2025,Steroid Hormone Biosynthetic Process (GO:0120178),2/22,0.0049475906363984,0.02547150762966,0,0,21.153191489361703,112.29921711841662,HSD17B1;CYP19A1
GO_Biological_Process_2025,Positive Regulation of Neural Precursor Cell Proliferation (GO:2000179),2/22,0.0049475906363984,0.02547150762966,0,0,21.153191489361703,112.29921711841662,KDM1A;VEGFA
GO_Biological_Process_2025,Regulation of Biosynthetic Process (GO:0009889),2/22,0.0049475906363984,0.02547150762966,0,0,21.153191489361703,112.29921711841662,ALOX5;SNCA
GO_Biological_Process_2025,Positive Regulation of Protein Transport (GO:0051222),3/73,0.0052282833821959,0.0267885588747547,0,0,9.140092165898617,48.01904884848528,ACHE;APP;TTR
GO_Biological_Process_2025,Positive Regulation of RNA Biosynthetic Process (GO:1902680),8/555,0.005236244044759,0.0267885588747547,0,0,3.217051686887153,16.8964406649628,KCNH2;STAT1;DYRK1A;DYRK1B;SOST;HIF1A;ESR1;ESR2
